Date,Description,Amount,Type
01-03-2024,Salary Credit,55000,credit
02-03-2024,Zomato Order,-450,debit
03-03-2024,Uber Ride,-180,debit
04-03-2024,Netflix Subscription,-649,debit
05-03-2024,DMart Grocery,-2300,debit
06-03-2024,Home Loan EMI,-18000,debit
07-03-2024,Swiggy Order,-320,debit
08-03-2024,Petrol,-1500,debit
09-03-2024,Electricity Bill,-1200,debit
10-03-2024,Mobile Recharge,-299,debit
11-03-2024,Amazon Purchase,-1850,debit
12-03-2024,Doctor Visit,-500,debit
13-03-2024,Zomato Order,-380,debit
14-03-2024,Metro Card Recharge,-500,debit
15-03-2024,Gym Membership,-999,debit
16-03-2024,Grocery Store,-1800,debit
17-03-2024,Car EMI,-8500,debit
18-03-2024,Insurance Premium,-2500,debit
19-03-2024,Restaurant Dinner,-1200,debit
20-03-2024,Book Purchase,-450,debit
